Prompt,Model Response
"Context: Aminohippuric acid and Temozolomide have a Loewe score of: -0.1341.  The drug combination to analyze is: Aminohippuric acid, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  Aminohippuric acid, Temozolomide, or Aminohippuric acid is a compound that is used in the treatment of a wide range of conditions.  Aminohippuric acid, Temozolomide, or Aminohippuric acid is a compound that is used in the treatment of a wide range of conditions.  Aminohippuric acid, Temozolomide, or Aminohippuric acid is a compound that is"
"Context: Omipalisib and Temozolomide have a Loewe score of: -0.548.  The drug combination to analyze is: Temozolomide, Omipalisib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: Temozolomide, Omipalisib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: Temozolomide, Omipalisib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: Temozolomide, Omipalis"
"Context: PP121 and Temozolomide have a Loewe score of: -0.589.  The drug combination to analyze is: Temozolomide, PP121 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," _______________________________________________________________________________

The following table summarizes the results of the analysis.

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Tem"
"Context: Anagrelide hydrochloride and Temozolomide have a Loewe score of: -0.1771.  The drug combination to analyze is: Anagrelide hydrochloride, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________
"Context: MRK-003 and Etoposide have a Loewe score of: -0.4659.  The drug combination to analyze is: MRK-003, Etoposide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," _______________________________________________________________________________

The following table summarizes the results of the study.

Drugs: MRK-003, Etoposide, and MRK-003-E

Drugs: MRK-003-E

Drugs: MRK-003-E

Drugs: MRK-003-E

Drugs: MRK-003-E

Drugs: MRK-003-E

Drugs: MRK"
"Context: ICG-001 and Temozolomide have a Loewe score of: -0.1062.  The drug combination to analyze is: Temozolomide, ICG-001 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," _______________________________________________ Sent through the Full Disclosure mailing list https://nmap.org/mailman/listinfo/fulldisclosure Web Archives & RSS: http://seclists.org/fulldisclosure/ By Date By Thread Current thread: The drug combination to analyze is: Temozolomide, ICG-001

The drug combination to analyze is: Temozolomide, ICG-001

The drug combination to analyze is: Temozolom"
"Context: Enmd-2076 and Dovitinib have a Loewe score of: -0.5142. Dovitinib and U-73122 have a Loewe score of: -0.7885. Tozasertib and Dovitinib have a Loewe score of: -0.162. Enmd-2076 and U-73122 have a Loewe score of: -0.9544. Tozasertib and Enmd-2076 have a Loewe score of: -0.267. Tozasertib and U-73122 have a Loewe score of: -0.5648.  The drug combination to analyze is: Enmd-2076, U-73122, Dovitinib, Tozasertib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________
"Context: Dipyridamole and Everolimus have a Loewe score of: 0.1302. Dipyridamole and Isoniazid have a Loewe score of: 0.2267. Chlorzoxazone and Dipyridamole have a Loewe score of: -0.1473. Azacitidine and Dipyridamole have a Loewe score of: -0.3137. Isoniazid and Everolimus have a Loewe score of: -0.0148. Chlorzoxazone and Everolimus have a Loewe score of: 0.0011. Azacitidine and Everolimus have a Loewe score of: 0.0022. Isoniazid and Chlorzoxazone have a Loewe score of: 0.2383. Azacitidine and Isoniazid have a Loewe score of: 0.0022. Azacitidine and Chlorzoxazone have a Loewe score of: 0.0022.  The drug combination to analyze is: Chlorzoxazone, Everolimus, Dipyridamole, Isoniazid, Azacitidine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________
"Context: SB-525334 and Temozolomide have a Loewe score of: -0.1851.  The drug combination to analyze is: Temozolomide, SB-525334 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ Sent through the Full Disclosure mailing list https://nmap.org/mailman/listinfo/fulldisclosure Web Archives & RSS: http://seclists.org/fulldisclosure/ By Date By Thread Current thread: Temozolomide (TIMO) - (TIMO) - (TIMO) - (TIMO) - (TIMO) - (TIMO) - (TIMO) - (T
"Context: Asenapine and Temozolomide have a Loewe score of: -0.0651.  The drug combination to analyze is: Temozolomide, Asenapine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________
"Context: Decitabine and Indole-3-carbinol have a Loewe score of: -0.1286. Indole-3-carbinol and IPA-3 have a Loewe score of: 0.0193. Indole-3-carbinol and ZM-336372 have a Loewe score of: -0.1888. PF-00562271 free base and Indole-3-carbinol have a Loewe score of: -0.4619. Decitabine and IPA-3 have a Loewe score of: -0.2175. Decitabine and ZM-336372 have a Loewe score of: -0.1144. PF-00562271 free base and Decitabine have a Loewe score of: -0.2725. IPA-3 and ZM-336372 have a Loewe score of: -0.0397. PF-00562271 free base and IPA-3 have a Loewe score of: -0.3948. PF-00562271 free base and ZM-336372 have a Loewe score of: -0.398.  The drug combination to analyze is: PF-00562271 free base, ZM-336372, Indole-3-carbinol, Decitabine, IPA-3 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: PF-00562271 free base, ZM-336372, IPA-3 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: PF-00562271 free base, ZM-336372, IPA-3 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."
"Context: HMTase Inhibitor IX and Temozolomide have a Loewe score of: -0.0781.  The drug combination to analyze is: HMTase Inhibitor IX, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: HMTase Inhibitor IX, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: HMTase Inhibitor IX, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is:"
"Context: Spectinomycin hydrochloride and Temozolomide have a Loewe score of: 0.01.  The drug combination to analyze is: Temozolomide, Spectinomycin hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Temozolomide, Spectinomycin hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolomide, Spectinomycin hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is:"
"Context: BIBR-1532 and Temozolomide have a Loewe score of: 0.014.  The drug combination to analyze is: Temozolomide, BIBR-1532 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Temozolomide, BIBR-1532 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolomide, BIBR-1532 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temoz"
"Context: Erlotinib and Dacarbazine have a Loewe score of: -0.2334.  The drug combination to analyze is: Erlotinib, Dacarbazine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Erlotinib, Dacarbazine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Erlotinib, Dacarbazine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Erlotinib,"
"Context: Azelastine hydrochloride and Temozolomide have a Loewe score of: -0.0991.  The drug combination to analyze is: Temozolomide, Azelastine hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," _______________________________________________________________________________

The following table summarizes the drug combinations that are available for analysis. _______________________________________________________________________________

Drugs that are available for analysis: Temozolomide, Azelastine hydrochloride, Temozolomide, Azelastine hydrochloride, Temozolomide, Azelastine hydrochloride, Temozolomide, Azelastine hydrochloride, Temozolomide, Azelastine hydro"
"Context: Clomiphene citrate and Temozolomide have a Loewe score of: 0.042.  The drug combination to analyze is: Clomiphene citrate, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Clomiphene citrate, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Clomiphene citrate, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Clom"
"Context: Inosine and Temozolomide have a Loewe score of: -0.0811.  The drug combination to analyze is: Inosine, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________
"Context: Paclitaxel and PF-3644022 have a Loewe score of: 0.038.  The drug combination to analyze is: PF-3644022, Paclitaxel Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: PF-3644022, Paclitaxel Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: PF-3644022, Paclitaxel Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: PF-3644022,"
"Context: Thioguanine and Pazopanib have a Loewe score of: -0.1725. Thioguanine and Chlorambucil have a Loewe score of: -0.1499. Thioguanine and Crizotinib have a Loewe score of: -0.0847. Thioguanine and Pemetrexed have a Loewe score of: -0.2925. Chlorambucil and Pazopanib have a Loewe score of: -0.1042. Pazopanib and Crizotinib have a Loewe score of: -0.2449. Pemetrexed and Pazopanib have a Loewe score of: -0.2163. Chlorambucil and Crizotinib have a Loewe score of: -0.1107. Chlorambucil and Pemetrexed have a Loewe score of: -0.1211. Crizotinib and Pemetrexed have a Loewe score of: -0.0086.  The drug combination to analyze is: Chlorambucil, Pazopanib, Crizotinib, Pemetrexed, Thioguanine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________
"Context: Enzastaurin and GW-9662 have a Loewe score of: -0.3936. Enzastaurin and Midostaurin have a Loewe score of: -0.2663. Enzastaurin and vasastrol have a Loewe score of: -0.2696. Enzastaurin and GW-441756 have a Loewe score of: -0.1398. Midostaurin and GW-9662 have a Loewe score of: -0.1086. GW-9662 and vasastrol have a Loewe score of: -0.0587. GW-9662 and GW-441756 have a Loewe score of: 0.0063. Midostaurin and vasastrol have a Loewe score of: -0.3733. Midostaurin and GW-441756 have a Loewe score of: -0.3695. vasastrol and GW-441756 have a Loewe score of: -0.1772.  The drug combination to analyze is: vasastrol, GW-441756, Enzastaurin, Midostaurin, GW-9662 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: vasastrol, GW-441756, Enzastaurin, GW-9662 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: vasastrol, GW-441756, Enzastaurin, GW-9662 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive"
"Context: Doxapram hydrochloride monohydrate and Temozolomide have a Loewe score of: -0.0381.  The drug combination to analyze is: Temozolomide, Doxapram hydrochloride monohydrate Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," _______________________________________________________________________________

The following table summarizes the drug combinations that are available for use in the United States.

Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug Name Drug"
"Context: PP121 and Temozolomide have a Loewe score of: -0.589.  The drug combination to analyze is: Temozolomide, PP121 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," _______________________________________________________________________________

The following table summarizes the results of the analysis.

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Temozolomide, PP121

Drugs: Tem"
"Context: Benzoylthiamine monophosphate and Temozolomide have a Loewe score of: -0.2442.  The drug combination to analyze is: Benzoylthiamine monophosphate, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: Benzoylthiamine monophosphate, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: Benzoylthiamine monophosphate, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to"
"Context: Crizotinib and Alvocidib have a Loewe score of: -0.4394. Alvocidib and Piperlongumine have a Loewe score of: -0.5208. Alvocidib and Pevonedistat have a Loewe score of: -0.2162. Paclitaxel and Alvocidib have a Loewe score of: -0.4629. Crizotinib and Piperlongumine have a Loewe score of: -0.2022. Crizotinib and Pevonedistat have a Loewe score of: -0.3831. Paclitaxel and Crizotinib have a Loewe score of: -0.4425. Pevonedistat and Piperlongumine have a Loewe score of: -0.638. Paclitaxel and Piperlongumine have a Loewe score of: -0.0861. Paclitaxel and Pevonedistat have a Loewe score of: -0.2712.  The drug combination to analyze is: Pevonedistat, Crizotinib, Alvocidib, Piperlongumine, Paclitaxel Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________ Crizotinib _______________________________________________________________________________
"Context: Bortezomib and PI3K inhibitor X have a Loewe score of: -0.345.  The drug combination to analyze is: PI3K inhibitor X, Bortezomib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: PI3K inhibitor X, Bortezomib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: PI3K inhibitor X, Bortezomib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: PI3K inhibitor"
"Context: Primidone and Temozolomide have a Loewe score of: -0.1681.  The drug combination to analyze is: Temozolomide, Primidone Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________
"Context: Ritodrine hydrochloride and Temozolomide have a Loewe score of: 0.005.  The drug combination to analyze is: Temozolomide, Ritodrine hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Temozolomide, Ritodrine hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolomide, Ritodrine hydrochloride Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is:"
"Context: Sodium 4-aminosalicylate and Temozolomide have a Loewe score of: -0.1251.  The drug combination to analyze is: Temozolomide, Sodium 4-aminosalicylate Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Temozolomide, Sodium 4-aminosalicylate Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolomide, Sodium 4-aminosalicylate Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze"
"Context: Quizartinib and Temozolomide have a Loewe score of: -0.5031.  The drug combination to analyze is: Temozolomide, Quizartinib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Temozolomide, Quizartinib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolomide, Quizartinib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolom"
"Context: UNC-1999 and Temozolomide have a Loewe score of: -0.1191.  The drug combination to analyze is: Temozolomide, UNC-1999 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: Temozolomide, UNC-1999 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: Temozolomide, UNC-1999 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: Temozolomide, UNC-1999 Given the"
