drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
Etoposide,MK-8776,36,1,10143,-0.748,0.1349,-0.1107,11.6846
Lapatinib,MK-8776,52,1,17207,-0.9382,-0.1433,-0.2767,11.6771
Lapatinib,Erlotinib,52,34,17210,-0.8822,-0.0812,-0.2201,11.6743
Vorinostat,Lapatinib,106,52,642,-0.8777,0.0754,-0.3596,11.6743
Etoposide,MK-8776,36,1,3147,-0.8075,0.1366,-0.2205,11.6399
Vorinostat,Geldanamycin,106,44,21627,-0.9904,-0.0391,-0.3543,11.6159
Vorinostat,SN 38 Lactone,106,87,2981,-1.0988,-0.4577,-0.4577,11.5914
Vorinostat,Adavosertib,106,2,2968,-1.1142,-0.4361,-0.4806,11.5866
Vorinostat,Geldanamycin,106,44,21044,-1.0547,-0.0959,-0.3705,11.5798
MRK-003,Vorinostat,73,106,21423,-1.1351,-0.1572,-0.372,11.5645
Vorinostat,SN 38 Lactone,106,87,19888,-1.1829,-0.5012,-0.5012,11.5543
Lapatinib,MK-8776,52,1,4381,-1.1759,-0.249,-0.4345,11.5511
Niraparib,Erlotinib,72,34,20244,-0.9869,-0.0732,-0.2778,11.542
MRK-003,Vorinostat,73,106,20840,-1.0357,-0.1121,-0.2504,11.5409
Erlotinib,Geldanamycin,34,44,7800,-1.0444,-0.1484,-0.3069,11.5342
Carboplatin,MK-8776,14,1,6524,-1.0885,-0.2755,-0.3059,11.5068
Lapatinib,Erlotinib,52,34,22457,-0.9758,0.0047,-0.1514,11.5057
MRK-003,MK-8776,73,1,17929,-1.0731,-0.1237,-0.2236,11.4991
Erlotinib,MK-8776,34,1,22372,-1.2937,-0.2945,-0.4444,11.4922
Lapatinib,MK-2206,52,68,22461,-1.0617,-0.1046,-0.2175,11.4914
MRK-003,Vorinostat,73,106,3350,-1.326,-0.4379,-0.4789,11.4901
MRK-003,MK-8776,73,1,8601,-1.3324,-0.4663,-0.4824,11.4891
MRK-003,MK-8776,73,1,6852,-0.9913,-0.0349,-0.1409,11.4766
Vorinostat,Dinaciclib,106,31,6467,-1.1977,-0.3905,-0.3905,11.4757
Lapatinib,MK-8776,52,1,883,-1.1714,-0.2141,-0.3327,11.4704
MRK-003,Etoposide,73,36,3362,-1.2589,-0.3718,-0.4117,11.4602
Oxaliplatin,MK-8776,75,1,505,-1.2362,-0.3841,-0.3851,11.4567
Niraparib,Erlotinib,72,34,6835,-1.0713,-0.114,-0.1695,11.4543
Temozolomide,MK-2206,92,68,14564,-1.1571,-0.2567,-0.2567,11.4523
Lapatinib,MK-2206,52,68,12550,-1.2018,-0.2465,-0.302,11.4504
Erlotinib,Dinaciclib,34,31,6633,-1.251,-0.3726,-0.3844,11.449
Lapatinib,Erlotinib,52,34,6716,-1.0313,-0.0914,-0.0986,11.4479
MK-4541,Temozolomide,74,92,6916,-1.0092,-0.0739,-0.0739,11.4467
MK-4541,Lapatinib,74,52,15063,-1.0442,-0.0703,-0.1205,11.4416
MK-4541,Geldanamycin,74,44,19724,-1.1,-0.1254,-0.1795,11.4358
Carboplatin,MK-2206,14,68,11197,-1.2026,-0.2907,-0.2979,11.4317
Temozolomide,Lapatinib,92,52,14562,-1.2109,-0.3105,-0.3105,11.4303
Carboplatin,Lapatinib,14,52,2450,-1.1049,-0.1858,-0.1859,11.4207
MRK-003,MK-8776,73,1,439,-1.2984,-0.356,-0.3595,11.4107
MK-4541,Vorinostat,74,106,22042,-1.2715,-0.2841,-0.3261,11.4103
Temozolomide,MK-8776,92,1,1146,-1.1916,-0.2343,-0.2343,11.4095
MK-4541,Vorinostat,74,106,8050,-1.5759,-0.5925,-0.6174,11.4059
Carboplatin,Lapatinib,14,52,8280,-1.0863,-0.1223,-0.1224,11.4021
Erlotinib,Oxaliplatin,34,75,3139,-1.1892,-0.1992,-0.1992,11.3884
MK-4541,Erlotinib,74,34,22636,-1.0811,-0.0911,-0.0911,11.3865
MK-4541,Lapatinib,74,52,4569,-1.3096,-0.3196,-0.3196,11.3862
MRK-003,MK-2206,73,68,12700,-1.2328,-0.2428,-0.2428,11.3859
Metformin,Erlotinib,62,34,4420,-1.1515,-0.1615,-0.1615,11.385
MK-4541,Temozolomide,74,92,503,-1.0414,-0.0514,-0.0514,11.385
Dexamethasone,Vorinostat,27,106,1919,-1.4769,-0.4869,-0.4869,11.385
MK-4541,Lapatinib,74,52,2237,-1.2749,-0.2849,-0.2849,11.385
Mitomycin,Sorafenib,65,88,17295,-0.1701,0.4554,0.0339,8.9258
Oxaliplatin,MK-8776,75,1,13331,-1.3691,-0.5193,-0.587,8.4031
MK-2206,Erlotinib,68,34,9724,-0.9884,-0.0826,-0.0846,8.3848
MK-2206,SN 38 Lactone,68,87,13811,-1.0263,-0.1908,-0.1941,8.3839
Niraparib,Erlotinib,72,34,20827,-1.0101,-0.0406,-0.1221,8.3707
Lapatinib,MK-2206,52,68,3805,-1.0911,-0.1185,-0.2156,8.3585
MK-4541,Erlotinib,74,34,8061,-1.2341,-0.2508,-0.2753,8.3156
Dexamethasone,Erlotinib,27,34,16502,-1.0426,-0.0526,-0.0526,8.3109
MK-4541,Geldanamycin,74,44,8064,-1.1734,-0.1869,-0.2098,8.3104
Methotrexate,Vorinostat,63,106,11429,-0.0899,0.2343,0.0001,6.1089
Vinorelbine,Geldanamycin,105,44,12281,-0.2554,0.1044,-0.2029,6.0996
PD-325901,MK-8776,69,1,3905,0.2427,0.7651,0.5129,6.0398
Dinaciclib,MK-8776,31,1,3110,-0.1723,0.4023,-0.0684,6.0223
Vinblastine,Lapatinib,103,52,9349,-0.0285,0.6719,0.0585,5.9655
Vorinostat,Temozolomide,106,92,3567,-0.1132,0.6293,-0.0459,5.9582
Vinblastine,Lapatinib,103,52,14013,-0.1539,0.5452,-0.1222,5.9513
Dinaciclib,MK-8776,31,1,11272,-0.4651,0.1711,-0.4631,5.9409
Vinblastine,MK-5108,103,53,16929,-0.132,0.3353,-0.119,5.925
Dinaciclib,MK-8776,31,1,6608,-0.0806,0.5827,-0.0797,5.9224
Vinblastine,MK-8776,103,1,4678,-0.2243,0.3691,-0.2156,5.9204
Doxorubicin,MK-2206,33,68,18282,-0.4824,0.081,-0.3071,5.9185
Vinblastine,Vorinostat,103,106,19250,-0.2659,0.402,-0.2648,5.9183
Vinblastine,MK-2206,103,68,14015,-0.1249,0.5743,-0.0925,5.9129
Lapatinib,Veliparib,52,102,16039,-0.293,0.1899,-0.038,5.9108
Vinblastine,Vorinostat,103,106,18084,-0.2265,0.5457,-0.2107,5.9034
Vinblastine,Vorinostat,103,106,2926,-0.294,0.4651,-0.279,5.9019
Vinblastine,MK-8776,103,1,2929,-0.0597,0.6994,-0.0447,5.8968
Vorinostat,Oxaliplatin,106,75,15805,-0.3536,0.3059,-0.2152,5.895
Vinblastine,Vorinostat,103,106,16918,-0.3321,0.128,-0.3263,5.8925
Vinblastine,MK-8776,103,1,13423,-0.2411,0.5522,-0.1532,5.8915
Vinblastine,MK-8776,103,1,6427,-0.2809,0.5009,-0.0476,5.8914
Vinblastine,MK-2206,103,68,13432,-0.2151,0.5855,-0.0759,5.8787
Vorinostat,Temozolomide,106,92,652,-0.1656,0.5731,-0.1154,5.8749
Vinblastine,Lapatinib,103,52,6434,-0.3099,0.4731,-0.0754,5.8747
MK-2206,Veliparib,68,102,7387,-0.3617,0.1779,-0.0701,5.872
Vinblastine,MK-2206,103,68,11100,-0.3366,0.4017,-0.2157,5.8688
Vinblastine,MK-8776,103,1,19253,-0.1179,0.55,-0.1168,5.8681
Vinblastine,Vorinostat,103,106,7007,-0.2926,0.375,-0.188,5.8668
Etoposide,Sorafenib,36,88,16569,-0.3851,0.234,-0.2287,5.8607
Vinblastine,MK-5108,103,53,13431,-0.1747,0.6207,-0.0627,5.8607
Etoposide,Veliparib,36,102,14221,-0.3713,0.2048,-0.097,5.8591
SN 38 Lactone,MK-8776,87,1,22690,-0.3948,0.422,-0.3946,5.8571
Dinaciclib,MK-8776,31,1,13604,-0.2163,0.5013,-0.1585,5.8551
Vinblastine,Lapatinib,103,52,13430,-0.3216,0.4764,-0.201,5.8549
Vorinostat,Temozolomide,106,92,69,-0.2161,0.4303,-0.1182,5.8531
Vinblastine,MK-2206,103,68,22177,-0.2022,0.5901,-0.0168,5.8428
Paclitaxel,Vorinostat,76,106,9837,-0.4608,0.153,-0.2102,5.8422
Vinblastine,Vorinostat,103,106,11671,-0.4671,0.1511,-0.232,5.8393
Vinblastine,MK-8776,103,1,22168,-0.4273,0.359,-0.2647,5.8289
SN 38 Lactone,MK-8776,87,1,9281,-0.301,0.5489,-0.301,5.8203
SN 38 Lactone,MK-8776,87,1,15694,-0.2031,0.6096,-0.1839,5.8203
Etoposide,Lapatinib,36,52,14814,0.015,0.6659,0.2582,5.8138
Vinblastine,Lapatinib,103,52,5851,-0.3219,0.4687,-0.0306,5.8121
Vinblastine,Erlotinib,103,34,16925,-0.4168,0.0769,-0.3773,5.8099
Mitomycin,Veliparib,65,102,17278,-0.3473,0.2991,-0.0178,5.8058
Vinorelbine,Erlotinib,105,34,12863,-0.4946,0.2851,-0.243,5.7711
Vinblastine,MK-8776,103,1,15755,-0.4174,0.3408,-0.2447,5.7681
Vorinostat,Veliparib,106,102,14041,-0.4566,0.2825,-0.1828,5.7644
Topotecan,MK-8776,97,1,10491,-0.4073,0.1935,0.0787,5.7617
Vinblastine,MK-8776,103,1,19836,-0.5835,0.1924,-0.3609,5.7492
Vinblastine,MK-8776,103,1,21002,-0.7574,-0.0777,-0.4279,5.743
Vorinostat,Erlotinib,106,34,7634,-0.659,0.1268,-0.4056,5.7265
Vorinostat,Oxaliplatin,106,75,64,-0.5103,0.2804,-0.1863,5.7206
Vorinostat,Temozolomide,106,92,11146,-0.482,0.3377,-0.1568,5.7104
Lapatinib,MK-8776,52,1,11377,-0.8345,-0.2042,-0.4318,5.71
Adavosertib,Erlotinib,2,34,19391,-0.5089,0.2758,-0.1609,5.7092
Vinblastine,MK-8776,103,1,5844,-0.5192,0.2714,-0.2282,5.6996
Mitomycin,Erlotinib,65,34,4460,-0.4643,0.2442,-0.0803,5.6956
Vinblastine,Temozolomide,103,92,8774,-0.1359,0.5889,0.1477,5.6897
Etoposide,Lapatinib,36,52,6652,-0.568,0.1483,-0.1345,5.6865
Gemcitabine,MK-8776,45,1,17184,-0.8261,-0.2857,-0.2928,5.6797
Mitomycin,Erlotinib,65,34,17286,-0.6067,0.0841,-0.1737,5.6744
SN 38 Lactone,MK-8776,87,1,18026,-0.392,0.398,-0.0819,5.6739
L-778123,Erlotinib,107,34,12905,-0.9103,-0.2069,-0.5007,5.6678
Vinblastine,Lapatinib,103,52,8766,-0.5066,0.2297,-0.2115,5.6656
Etoposide,Sunitinib,36,90,6076,-0.5879,0.1045,-0.1321,5.6627
Paclitaxel,Temozolomide,76,92,10438,-0.3843,0.3455,0.0444,5.6625
Vinblastine,Vorinostat,103,106,8756,-0.5716,0.157,-0.2843,5.6614
Vinblastine,MK-2206,103,68,8768,-0.5099,0.2324,-0.2089,5.6512
Methotrexate,Vorinostat,63,106,13761,-0.3909,0.3583,-0.1682,5.6431
Vinblastine,Vorinostat,103,106,10505,-0.632,0.0661,-0.1095,5.6396
Dasatinib,Geldanamycin,24,44,17063,-0.8116,-0.1398,-0.2825,5.6261
Erlotinib,Geldanamycin,34,44,21209,-0.7125,0.0288,-0.2331,5.6256
Etoposide,Lapatinib,36,52,239,-0.6411,0.1762,-0.1981,5.6236
Vorinostat,Lapatinib,106,52,1808,-0.7957,0.0986,-0.3867,5.6123
Vorinostat,Niraparib,106,72,19302,-0.6733,0.2006,-0.2472,5.6106
Etoposide,Lapatinib,36,52,16563,-0.7053,0.1203,-0.3003,5.61
Methotrexate,MK-2206,63,68,13773,-0.5237,0.2717,-0.2125,5.6094
Erlotinib,Oxaliplatin,34,75,807,-0.911,-0.0107,-0.4599,5.6089
Methotrexate,Lapatinib,63,52,20767,-0.6101,0.0312,-0.0049,5.6
Vorinostat,Niraparib,106,72,18136,-0.6989,0.2279,-0.2494,5.5944
Paclitaxel,Niraparib,76,72,11017,-0.5948,0.1498,-0.0184,5.5937
Vinorelbine,Lapatinib,105,52,2372,-0.6816,0.1572,-0.2305,5.5875
Vinblastine,Lapatinib,103,52,2353,-0.7314,0.1223,-0.2232,5.579
Etoposide,Veliparib,36,102,20051,-0.5008,0.3749,-0.0401,5.5748
Etoposide,Niraparib,36,72,20065,-0.7656,0.1239,-0.276,5.5748
Vorinostat,Lapatinib,106,52,19298,-0.8208,0.0999,-0.2852,5.5664
Etoposide,MK-2206,36,68,21812,-0.8005,0.0396,-0.2564,5.5646
Vorinostat,MK-8776,106,1,2966,-0.7185,0.195,-0.278,5.5629
Vinblastine,MK-8776,103,1,2346,-0.5891,0.2631,-0.0824,5.5574
Vinblastine,MK-8776,103,1,20419,-0.7318,0.1268,-0.2067,5.5561
Vinblastine,Vorinostat,103,106,18667,-0.8251,0.0365,-0.3021,5.5515
Dexamethasone,MK-2206,27,68,14176,-1.0257,-0.3558,-0.364,5.5431
Etoposide,Niraparib,36,72,2575,-0.6691,0.2026,-0.1299,5.5369
Vinblastine,Lapatinib,103,52,20426,-0.5845,0.2743,-0.0592,5.5365
Vorinostat,Lapatinib,106,52,4723,-0.7914,0.0757,-0.2657,5.5316
L-778123,Vorinostat,107,106,7652,-1.1151,-0.2616,-0.5342,5.5316
Topotecan,Dinaciclib,97,31,20986,-1.0176,-0.1009,-0.5712,5.5254
MK-4541,Niraparib,74,72,5159,-0.866,-0.0697,-0.2449,5.5243
Vorinostat,Topotecan,106,97,5317,-1.179,-0.2417,-0.6663,5.5222
Etoposide,Bortezomib,36,11,11891,-1.2275,-0.7374,-0.7512,5.5197
Vorinostat,Erlotinib,106,34,3553,-0.8764,0.0674,-0.3501,5.5154
Vorinostat,Lapatinib,106,52,8804,-0.923,0.036,-0.3566,5.5149
Erlotinib,Veliparib,34,102,7795,-0.6935,0.2362,-0.1509,5.5142
Vorinostat,Erlotinib,106,34,19877,-0.8899,0.04,-0.3956,5.5138
Vorinostat,Lapatinib,106,52,21630,-0.9364,-0.0246,-0.3631,5.5118
Etoposide,Sorafenib,36,88,7241,-0.7725,0.0248,-0.0787,5.5096
Vorinostat,Erlotinib,106,34,8800,-1.0005,-0.0415,-0.4341,5.5082
Fluorouracil,Vorinostat,41,106,4913,-0.9951,-0.0943,-0.3992,5.5072
MK-2206,Oxaliplatin,68,75,12643,-0.6966,0.2168,-0.1112,5.5061
Vinblastine,MK-2206,103,68,2355,-0.6508,0.2049,-0.1405,5.5053
Adavosertib,Erlotinib,2,34,8897,-0.9009,-0.0108,-0.3522,5.5045
L-778123,Vorinostat,107,106,21644,-0.9841,-0.1492,-0.3604,5.5008
Etoposide,Dinaciclib,36,31,12478,-1.1766,-0.7336,-0.7454,5.4972
Dasatinib,MK-8776,24,1,2486,-0.8109,0.0667,-0.2239,5.4966
Vorinostat,Geldanamycin,106,44,1805,-0.8231,0.0766,-0.335,5.4962
Etoposide,Lapatinib,36,52,22393,-0.8044,0.078,-0.2263,5.4924
Etoposide,Temozolomide,36,92,15405,-0.5681,0.3367,-0.0066,5.4862
Erlotinib,MK-8776,34,1,2550,-0.8326,0.0817,-0.2525,5.4855
Vorinostat,Lapatinib,106,52,14634,-0.8164,0.0509,-0.2797,5.4839
Lapatinib,Niraparib,52,72,9054,-0.7486,0.042,-0.0706,5.4833
Vorinostat,Niraparib,106,72,6476,-0.7894,0.1112,-0.2529,5.4817
Etoposide,PD-325901,36,69,11902,-1.0687,-0.5245,-0.5976,5.4803
Vorinostat,Lapatinib,106,52,18715,-0.8773,0.0263,-0.2647,5.4787
Etoposide,Erlotinib,36,34,20641,-0.8043,0.1091,-0.1874,5.4756
Etoposide,Erlotinib,36,34,19475,-0.8253,0.0622,-0.2349,5.4751
Vorinostat,Lapatinib,106,52,22213,-0.8673,0.1027,-0.2549,5.4656
Lapatinib,Erlotinib,52,34,21874,-1.054,-0.1246,-0.4857,5.4644
Doxorubicin,Dinaciclib,33,31,2535,-1.1315,-0.1807,-0.525,5.4641
Lapatinib,MK-8776,52,1,9045,-0.9531,-0.1364,-0.2551,5.4587
MRK-003,MK-8776,73,1,5686,-1.1823,-0.3385,-0.5221,5.4566
Vorinostat,Lapatinib,106,52,10553,-0.9135,-0.0399,-0.3676,5.4539
MRK-003,MK-8776,73,1,4520,-1.0486,-0.11,-0.4529,5.4538
Niraparib,Veliparib,72,102,17324,-0.5384,0.3549,0.1886,5.4459
Vorinostat,Dasatinib,106,24,15210,-1.1699,-0.22,-0.6062,5.4449
Etoposide,Lapatinib,36,52,3737,-0.8486,0.0039,-0.155,5.4422
Vorinostat,Lapatinib,106,52,21047,-0.9886,-0.0625,-0.3734,5.4395
MK-5108,MK-8776,53,1,19556,-0.8257,0.1441,-0.2038,5.4368
Lapatinib,Sorafenib,52,88,7309,-0.8556,0.0256,-0.1421,5.4352
MK-5108,Erlotinib,53,34,19559,-0.8347,0.1309,-0.2149,5.4335
Lapatinib,Niraparib,52,72,4973,-0.8175,0.1209,-0.1782,5.4285
Etoposide,Dinaciclib,36,31,235,-0.8147,-0.1652,-0.191,5.4279
MK-2206,Veliparib,68,102,8553,-0.7897,0.086,-0.0466,5.4273
MK-5108,Erlotinib,53,34,12563,-0.8694,0.0826,-0.2782,5.4273
Erlotinib,Dasatinib,34,24,1968,-0.8806,0.0738,-0.2232,5.4258
Lapatinib,Oxaliplatin,52,75,11970,-0.7913,0.0827,-0.0929,5.425
Lapatinib,MK-8776,52,1,10211,-0.7075,0.1294,0.0369,5.4247
Vorinostat,MK-8776,106,1,2383,-0.8583,0.1747,-0.2549,5.4232
Vorinostat,MK-5108,106,53,12303,-0.9835,-0.0572,-0.3477,5.4214
Vorinostat,Erlotinib,106,34,9966,-0.9355,0.0107,-0.3262,5.4185
Vorinostat,Dinaciclib,106,31,15795,-1.204,-0.636,-0.6362,5.4146
Vorinostat,Erlotinib,106,34,6468,-0.9049,0.0475,-0.2613,5.4143
Lapatinib,Erlotinib,52,34,13129,-0.9185,0.0152,-0.1782,5.4123
Vorinostat,MK-5108,106,53,7056,-0.9831,-0.1687,-0.3265,5.4091
Lapatinib,Geldanamycin,52,44,21875,-0.9813,-0.0167,-0.3331,5.409
Lapatinib,PD-325901,52,69,13717,-1.004,-0.0886,-0.34,5.4073
SN 38 Lactone,MK-8776,87,1,9864,-0.9646,-0.2014,-0.2112,5.4058
Lapatinib,Geldanamycin,52,44,21292,-1.0108,-0.0752,-0.3349,5.4047
Lapatinib,MK-2206,52,68,10218,-1.0415,-0.1956,-0.2923,5.4021
Vorinostat,Lapatinib,106,52,13468,-1.098,-0.1314,-0.3829,5.3983
Vorinostat,Erlotinib,106,34,1221,-1.1162,-0.1812,-0.4096,5.3949
Vorinostat,Lapatinib,106,52,6472,-0.8278,0.1246,-0.1842,5.3945
Lapatinib,Niraparib,52,72,11969,-0.8861,0.0105,-0.129,5.3941
Carboplatin,Lapatinib,14,52,1284,-1.0622,-0.2893,-0.3503,5.3935
Erlotinib,MK-8776,34,1,18291,-1.0782,-0.1184,-0.3865,5.389
Lapatinib,Erlotinib,52,34,2052,-1.0849,-0.117,-0.3588,5.3862
MK-2206,Erlotinib,68,34,13805,-1.2117,-0.3,-0.4523,5.3826
Sorafenib,MK-8776,88,1,18612,-1.1732,-0.4618,-0.4762,5.3808
Erlotinib,Dinaciclib,34,31,17127,-1.1849,-0.3852,-0.5045,5.3787
MK-5108,Erlotinib,53,34,18393,-1.0056,-0.0573,-0.2727,5.3745
MRK-003,Lapatinib,73,52,5116,-0.9568,-0.0097,-0.1974,5.3743
Vorinostat,Erlotinib,106,34,13464,-1.1619,-0.1953,-0.4467,5.373
Erlotinib,Dasatinib,34,24,11879,-1.2846,-0.342,-0.5692,5.3715
Lapatinib,Erlotinib,52,34,4967,-1.032,-0.0716,-0.3026,5.3694
Lapatinib,Erlotinib,52,34,14295,-1.1531,-0.1971,-0.4165,5.3682
Lapatinib,Erlotinib,52,34,4384,-0.9916,-0.0239,-0.2877,5.368
Vorinostat,Lapatinib,106,52,20464,-0.8943,0.0145,-0.1776,5.3671
Erlotinib,Oxaliplatin,34,75,15382,-1.0409,-0.0997,-0.2709,5.367
Vorinostat,Adavosertib,106,2,19292,-1.1994,-0.2851,-0.5082,5.3651
Vorinostat,SN 38 Lactone,106,87,4730,-1.184,-0.5116,-0.5141,5.364
MK-2206,Geldanamycin,68,44,21968,-0.9849,-0.0668,-0.2177,5.3621
Vorinostat,Geldanamycin,106,44,56,-1.0366,-0.1604,-0.3278,5.3591
Lapatinib,Ridaforolimus,52,84,17218,-1.0759,-0.2666,-0.355,5.3589
Adavosertib,Erlotinib,2,34,7731,-1.1857,-0.4235,-0.4235,5.3583
Vorinostat,Erlotinib,106,34,20460,-0.9278,-0.019,-0.2111,5.3574
Vorinostat,Dinaciclib,106,31,16961,-1.1754,-0.4841,-0.4843,5.3569
Geldanamycin,MK-8776,44,1,19507,-0.9631,-0.1042,-0.2396,5.3569
L-778123,Lapatinib,107,52,19906,-0.9278,0.0574,-0.1833,5.3532
Erlotinib,Dinaciclib,34,31,8965,-1.1922,-0.4577,-0.4879,5.3528
Lapatinib,Erlotinib,52,34,1469,-1.0701,-0.1405,-0.2867,5.3516
Lapatinib,Niraparib,52,72,7305,-0.8694,0.0427,-0.0736,5.3511
MRK-003,MK-8776,73,1,7435,-1.1629,-0.249,-0.3806,5.3506
Erlotinib,MK-8776,34,1,20040,-1.281,-0.3016,-0.5528,5.3497
MK-4541,Vinblastine,74,103,5133,-1.1097,-0.2612,-0.3656,5.349
Erlotinib,Ridaforolimus,34,84,2557,-1.1781,-0.4565,-0.4577,5.3487
Vorinostat,Adavosertib,106,2,8215,-1.1018,-0.1824,-0.3596,5.3473
Vorinostat,MK-8776,106,1,20456,-1.064,-0.1235,-0.3183,5.3451
Erlotinib,Bortezomib,34,11,8962,-1.2724,-0.5505,-0.568,5.345
Lapatinib,Erlotinib,52,34,18959,-0.9019,0.0799,-0.1381,5.3397
Vorinostat,Adavosertib,106,2,15211,-1.1305,-0.415,-0.424,5.3395
Vorinostat,MK-2206,106,68,20466,-1.1078,-0.1672,-0.3588,5.3394
MK-5108,MK-8776,53,1,6147,-1.0893,-0.1009,-0.3554,5.3394
Lapatinib,Dinaciclib,52,31,9047,-1.1666,-0.3302,-0.4094,5.3353
Sunitinib,MK-8776,90,1,4041,-1.0974,-0.1242,-0.3023,5.3336
Vorinostat,Topotecan,106,97,1236,-1.5301,-0.5585,-0.7485,5.3333
MRK-003,MK-2206,73,68,10951,-1.2338,-0.2794,-0.4513,5.3319
Lapatinib,SN 38 Lactone,52,87,21883,-1.3266,-0.6028,-0.6029,5.3293
Vorinostat,Dinaciclib,106,31,8799,-1.138,-0.3981,-0.3982,5.3292
MK-5108,MK-8776,53,1,20139,-1.2809,-0.3038,-0.494,5.3283
Lapatinib,Veliparib,52,102,15456,-0.8026,0.0751,-0.0331,5.3278
MRK-003,Vorinostat,73,106,22589,-1.1544,-0.2362,-0.3927,5.327
Carboplatin,Lapatinib,14,52,9446,-0.9305,-0.0832,-0.1043,5.3258
Veliparib,MK-8776,102,1,12827,-1.278,-0.3762,-0.3762,5.3254
Carboplatin,Lapatinib,14,52,6531,-0.9484,-0.1296,-0.1681,5.3238
Lapatinib,MK-8776,52,1,2632,-0.9903,-0.0551,-0.1693,5.3236
MK-5108,Erlotinib,53,34,20142,-1.0065,-0.055,-0.2495,5.323
MRK-003,Etoposide,73,36,22018,-1.1809,-0.2742,-0.3977,5.3222
Lapatinib,MK-8776,52,1,7296,-1.1995,-0.2721,-0.3679,5.3187
Carboplatin,MK-2206,14,68,4784,-1.316,-0.401,-0.4873,5.3186
Etoposide,Vorinostat,36,106,13639,-1.0444,-0.0622,-0.2448,5.3179
Temozolomide,MK-2206,92,68,15147,-1.0908,-0.2617,-0.2617,5.3179
Lapatinib,MK-8776,52,1,18956,-1.0805,-0.1035,-0.2986,5.3179
Etoposide,Veliparib,36,102,21217,-0.898,0.0631,-0.0894,5.3171
Vorinostat,Dinaciclib,106,31,8216,-1.2836,-0.5264,-0.5312,5.3162
Lapatinib,SN 38 Lactone,52,87,9057,-1.1469,-0.3828,-0.3898,5.3159
MK-5108,MK-8776,53,1,7313,-1.2105,-0.2604,-0.392,5.3159
Temozolomide,Erlotinib,92,34,16891,-1.1075,-0.2757,-0.284,5.3144
Vorinostat,Dinaciclib,106,31,22208,-1.3369,-0.5756,-0.5756,5.3124
Etoposide,Lapatinib,36,52,15397,-1.023,-0.0504,-0.2157,5.3088
MRK-003,Erlotinib,73,34,3944,-1.0564,-0.1483,-0.1914,5.3087
Carboplatin,Vorinostat,14,106,12351,-1.2325,-0.4644,-0.4652,5.3082
Lapatinib,Dasatinib,52,24,18957,-1.0375,-0.1098,-0.2283,5.3076
Etoposide,Dasatinib,36,24,18889,-1.0321,-0.0731,-0.2153,5.3062
Etoposide,MK-8776,36,1,15390,-1.1203,-0.1454,-0.3059,5.306
